encodings,"(4, 5)","(3, 6)","(2, 7)","(1, 8)"
"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0
"[0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,0,0
"[0, 0, 0, 0, 0, 0, 0, 0, 2]",0,0,0,5040
"[0, 0, 0, 0, 0, 0, 0, 0, 3]",0,0,0,10080
"[0, 0, 0, 0, 0, 0, 0, 0, 4]",0,0,0,15120
"[0, 0, 0, 0, 0, 0, 0, 0, 5]",0,0,0,20160
"[0, 0, 0, 0, 0, 0, 0, 0, 6]",0,0,0,25200
"[0, 0, 0, 0, 0, 0, 0, 0, 7]",0,0,0,30240
"[0, 0, 0, 0, 0, 0, 0, 0, 8]",0,0,0,35280
"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,0,0
"[0, 0, 0, 0, 0, 0, 0, 1, 2]",0,0,0,5040
"[0, 0, 0, 0, 0, 0, 0, 1, 3]",0,0,0,10080
"[0, 0, 0, 0, 0, 0, 0, 1, 4]",0,0,0,15120
"[0, 0, 0, 0, 0, 0, 0, 1, 5]",0,0,0,20160
"[0, 0, 0, 0, 0, 0, 0, 1, 6]",0,0,0,25200
"[0, 0, 0, 0, 0, 0, 0, 1, 7]",0,0,0,30240
"[0, 0, 0, 0, 0, 0, 0, 1, 8]",0,0,0,35280
"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,0,0,10080
"[0, 0, 0, 0, 0, 0, 0, 2, 3]",0,0,240,13440
"[0, 0, 0, 0, 0, 0, 0, 2, 4]",0,0,480,16800
"[0, 0, 0, 0, 0, 0, 0, 2, 5]",0,0,720,20160
"[0, 0, 0, 0, 0, 0, 0, 2, 6]",0,0,960,23520
"[0, 0, 0, 0, 0, 0, 0, 2, 7]",0,0,1200,26880
"[0, 0, 0, 0, 0, 0, 0, 2, 8]",0,0,1440,30240
"[0, 0, 0, 0, 0, 0, 0, 3, 3]",0,0,480,16800
"[0, 0, 0, 0, 0, 0, 0, 3, 4]",0,0,960,18480
"[0, 0, 0, 0, 0, 0, 0, 3, 5]",0,0,1440,20160
"[0, 0, 0, 0, 0, 0, 0, 3, 6]",0,0,1920,21840
"[0, 0, 0, 0, 0, 0, 0, 3, 7]",0,0,2400,23520
"[0, 0, 0, 0, 0, 0, 0, 3, 8]",0,0,2880,25200
"[0, 0, 0, 0, 0, 0, 0, 4, 4]",0,0,1440,20160
"[0, 0, 0, 0, 0, 0, 0, 4, 5]",0,0,2160,20160
"[0, 0, 0, 0, 0, 0, 0, 4, 6]",0,0,2880,20160
"[0, 0, 0, 0, 0, 0, 0, 4, 7]",0,0,3600,20160
"[0, 0, 0, 0, 0, 0, 0, 4, 8]",0,0,4320,20160
"[0, 0, 0, 0, 0, 0, 0, 5, 5]",0,0,2880,20160
"[0, 0, 0, 0, 0, 0, 0, 5, 6]",0,0,3840,18480
"[0, 0, 0, 0, 0, 0, 0, 5, 7]",0,0,4800,16800
"[0, 0, 0, 0, 0, 0, 0, 5, 8]",0,0,5760,15120
"[0, 0, 0, 0, 0, 0, 0, 6, 6]",0,0,4800,16800
"[0, 0, 0, 0, 0, 0, 0, 6, 7]",0,0,6000,13440
"[0, 0, 0, 0, 0, 0, 0, 6, 8]",0,0,7200,10080
"[0, 0, 0, 0, 0, 0, 0, 7, 7]",0,0,7200,10080
"[0, 0, 0, 0, 0, 0, 0, 7, 8]",0,0,8640,5040
"[0, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,0,0
"[0, 0, 0, 0, 0, 0, 1, 1, 2]",0,0,0,5040
